,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
129670,GEOMETRIC,EQ,75.6,76.8,75.6,76.1,76.1,76.25,76614,5830246.15,18-OCT-2013	
131480,GEOMETRIC,EQ,109.0,109.75,106.9,107.85,107.3,108.7,341661,37166400.0,18-SEP-2012	
133343,GEOMETRIC,EQ,75.0,77.4,74.65,75.15,75.25,75.9,35463,2694361.4,18-SEP-2013	
134517,GEOMETRIC,EQ,106.6,109.95,106.6,109.5,109.95,108.35,39573,4311421.85,27-MAY-2013	
135126,GEOMETRIC,EQ,143.05,154.8,142.55,153.55,153.1,143.6,1095509,165336990.6,18-SEP-2014	
137093,GEOMETRIC,EQ,63.2,63.8,61.25,63.3,63.6,63.05,40287,2537205.55,19-APR-2011	
138932,GEOMETRIC,EQ,76.0,76.0,74.5,75.2,75.05,75.0,60746,4571796.45,19-APR-2012	
140799,GEOMETRIC,EQ,71.6,73.9,71.45,72.2,72.25,71.05,110105,8000171.1,19-AUG-2010	
142575,GEOMETRIC,EQ,36.9,39.9,34.5,36.65,36.45,37.1,47942,1703761.15,19-AUG-2011	
144366,GEOMETRIC,EQ,74.0,74.0,69.5,70.0,69.85,72.3,75768,5371235.25,19-AUG-2013	
146129,GEOMETRIC,EQ,139.1,139.95,135.35,136.35,136.6,138.75,150265,20546692.25,19-AUG-2014	
146211,GEOMETRIC,EQ,140.6,143.4,140.2,140.6,140.45,140.7,200517,28421521.7,02-SEP-2014	
148091,GEOMETRIC,EQ,130.5,147.25,130.5,143.95,143.5,129.35,3796742,541377341.05,19-AUG-2015	
150004,GEOMETRIC,EQ,46.55,47.0,45.3,45.6,45.55,47.3,75984,3479335.3,19-DEC-2011	
151889,GEOMETRIC,EQ,105.0,106.7,102.95,103.7,103.15,104.9,147664,15488740.65,19-DEC-2012	
152725,GEOMETRIC,EQ,138.7,149.9,134.05,147.9,149.0,137.2,1278007,185103084.85,27-MAY-2014	
153754,GEOMETRIC,EQ,89.5,96.85,89.2,92.9,93.15,88.95,750049,70081782.8,19-DEC-2013	
155560,GEOMETRIC,EQ,129.8,130.5,125.3,126.25,127.0,128.6,161589,20713192.7,19-DEC-2014	
157508,GEOMETRIC,EQ,102.65,104.4,101.6,102.7,102.3,102.95,72684,7490469.55,19-FEB-2013	
159412,GEOMETRIC,EQ,91.35,94.7,91.35,93.6,93.8,92.15,105648,9878077.3,19-FEB-2014	
161303,GEOMETRIC,EQ,129.7,150.25,129.55,142.4,142.95,128.45,3129446,439792911.25,19-FEB-2015	
